dataset,cache_size,HR_full,HR_base,miss_rate_full,miss_rate_base,rel_miss_reduction
wiki2018,16123,0.4675794444444445,0.4594287777777778,0.5324205555555555,0.5405712222222222,0.015077877496253604
wiki2018,20154,0.48276366666666665,0.4739518888888889,0.5172363333333334,0.526048111111111,0.016750897097920443
wiki2018,40308,0.5260672222222222,0.5193519999999999,0.47393277777777776,0.4806480000000001,0.01397118519628151
wiki2018,60463,0.558828,0.5491907777777778,0.441172,0.4508092222222222,0.021377606639714233
wiki2018,80617,0.5846503333333334,0.5734653333333333,0.4153496666666666,0.42653466666666673,0.02622295647716038
wiki2018,100772,0.6051606666666667,0.5884208888888889,0.3948393333333333,0.4115791111111111,0.04067207816399282
wikipedia_september_2007,12221,0.6367145000000001,0.631308125,0.36328549999999993,0.368691875,0.014663667323832601
wikipedia_september_2007,15277,0.644506125,0.639004,0.35549387499999996,0.360996,0.015241512371328283
wikipedia_september_2007,30554,0.669728875,0.6666386249999999,0.330271125,0.33336137500000007,0.009269970163760188
wikipedia_september_2007,45831,0.6892531249999999,0.68391925,0.3107468750000001,0.31608075,0.016875039052520382
wikipedia_september_2007,61109,0.703853375,0.6955731249999999,0.296146625,0.3044268750000001,0.027199471137362947
wikipedia_september_2007,76386,0.7146355,0.70331125,0.2853645,0.29668874999999995,0.03816878799752241
