dataset,cache_size,bin,admit_rate_full_mean,admit_rate_base_mean,HR_full_mean,HR_base_mean,HR_diff,n_slots
wiki2018,16123,0,0.010366421488206963,0.012812937907799906,0.46455149999999995,0.4645504999999999,1.0000000000287557e-06,20
wiki2018,16123,1,0.012225737353801164,0.013213054784873323,0.4719605882352942,0.47095705882352945,0.0010035294117647364,17
wiki2018,16123,2,0.013490684107427334,0.013048345963548704,0.439533125,0.43757500000000005,0.0019581249999999772,16
wiki2018,16123,3,0.01654059705520597,0.014296075246201648,0.4842963157894737,0.4699963157894737,0.01429999999999998,19
wiki2018,16123,4,0.03298435848695716,0.014102975732150738,0.4873017647058823,0.46298117647058823,0.024320588235294094,17
wiki2018,20154,0,0.01214364507472422,0.01609892480220307,0.46788,0.4661157894736842,0.0017642105263158125,19
wiki2018,20154,1,0.013415029513749543,0.016882766759829377,0.4988744444444444,0.49792277777777777,0.0009516666666666285,18
wiki2018,20154,2,0.01540634831864488,0.01678081618593519,0.4792417647058823,0.470454705882353,0.008787058823529315,17
wiki2018,20154,3,0.017528143100483413,0.017881631295936732,0.48185470588235296,0.46936176470588237,0.012492941176470596,17
wiki2018,20154,4,0.03863489922301973,0.0181727449661258,0.4863489473684211,0.4663147368421053,0.02003421052631582,19
wiki2018,40308,0,0.040612694937017524,0.054256885044555676,0.5063527777777778,0.49860388888888885,0.007748888888888916,18
wiki2018,40308,1,0.04687716587752691,0.05948985543886119,0.5326433333333332,0.5275755555555556,0.005067777777777671,18
wiki2018,40308,2,0.04999069330327564,0.06338798438959006,0.5467675,0.5435380000000001,0.0032294999999998852,20
wiki2018,40308,3,0.05000949795281328,0.06270640987130596,0.5440376470588235,0.5406394117647059,0.0033982352941176464,17
wiki2018,40308,4,0.06317544201935986,0.06216319541233764,0.50626875,0.49056187500000004,0.01570687500000001,16
wiki2018,60463,0,0.050003780563664675,0.13602641484959258,0.5623463157894738,0.552261052631579,0.01008526315789482,19
wiki2018,60463,1,0.050008186352196636,0.13559425937086983,0.5615106666666666,0.5524020000000001,0.009108666666666543,15
wiki2018,60463,2,0.05001273074767182,0.1395897299747208,0.5746879999999999,0.5654984999999999,0.009189499999999962,20
wiki2018,60463,3,0.050017342695755806,0.1403943470751633,0.577176875,0.56828375,0.008893125000000057,16
