dataset,model,cache_size_objects,avg_time_slot_s,p95_time_slot_s,p99_time_slot_s,avg_score_time_per_cand_us,rss_peak_mb
wiki2018,GBDT,16123,26.059439173555518,71.88923081175305,109.78164865799015,306.8079845398394,3186.640625
wiki2018,IL-guard,16123,5.188153538477814,14.661380428128174,17.976533475128235,17.588136616682267,3758.7109375
wiki2018,IL-no-guard,16123,5.400072369258851,13.747749332216333,26.005679741211928,17.592007967932012,3800.05859375
wikipedia_september_2007,GBDT,12221,25.96015733026288,60.66383058740756,77.74914439652215,443.65645400017155,2474.08984375
wikipedia_september_2007,IL-guard,12221,4.478424506574811,12.462629964272486,37.70271544744019,17.170927090679644,2620.90625
wikipedia_september_2007,IL-no-guard,12221,4.1543791097370555,11.42695060906697,26.990687435427564,17.188854059540745,2638.89453125
