dataset,model,cache_size_objects,slots,avg_time_slot_s,p95_time_slot_s,p99_time_slot_s,max_time_slot_s,avg_time_feat_s,avg_time_score_s,avg_time_guard_s,avg_time_select_s,avg_time_update_s,avg_score_time_per_cand_us,rss_max_mb,max_feature_bytes,num_features,rss_peak_mb
wiki2018,GBDT,16123,90,26.059439173555518,71.88923081175305,109.78164865799015,112.76202092540916,4.878081419778108,18.190766669896483,0.0,0.0,2.9905910838809278,306.8079845398394,3263120.0,0,10,3186.640625
wiki2018,IL-guard,16123,90,5.188153538477814,14.661380428128174,17.976533475128235,20.126688909018412,2.73154461505797,0.8795966001240433,0.25801098511890613,0.007950227765832096,1.311051110411063,17.588136616682267,3848920.0,8000000,10,3758.7109375
wiki2018,IL-no-guard,16123,90,5.400072369258851,13.747749332216333,26.005679741211928,35.05188061785884,2.915040732700274,0.8875636407976142,0.2651409081299789,0.020830911472957167,1.3114961761580264,17.592007967932012,3891260.0,8000000,10,3800.05859375
wikipedia_september_2007,GBDT,12221,80,25.96015733026288,60.66383058740756,77.74914439652215,98.25629726494662,5.925070073993993,17.846011834955426,0.0,0.0,2.189075421313464,443.65645400017155,2533468.0,0,10,2474.08984375
wikipedia_september_2007,IL-guard,12221,80,4.478424506574811,12.462629964272486,37.70271544744019,48.95413849805482,2.8932381045844524,0.5857324833268649,0.16316267579968552,0.006376481463667006,0.8299147614001413,17.170927090679644,2683808.0,8000000,10,2620.90625
wikipedia_september_2007,IL-no-guard,12221,80,4.1543791097370555,11.42695060906697,26.990687435427564,41.728873092914,2.5742124756056,0.5907048645982286,0.15801820186024998,0.005656869125959929,0.8257866985470173,17.188854059540745,2702228.0,8000000,10,2638.89453125
