dataset,avg_hr_guard,avg_hr_no_guard,avg_delta_hr,avg_rmr,win,tie,lose
wikipedia_september_2007,0.6764480833333333,0.669959125,0.006488958333333332,0.020234497192696144,6,0,0
wiki2018,0.5375051481481481,0.5273019074074075,0.010203240740740721,0.02233798969725929,6,0,0
